ID,CS,SQI
1416,2000,12822
1417,2000,12822
1418,2000,12822
1419,2000,12822
1420,2001,12800
1421,2005,12814
1422,2006,12822
1423,2007,12834
1424,2006,12832
1425,2007,12840
1426,2007,12840
1427,2007,12840
1428,2006,12838
1429,2006,12838
1430,2006,12840
1431,2006,12840
1432,2006,12848
1433,2006,12848
1434,2006,12848
1435,2007,12850
1436,2007,12850
1437,2007,12850
1438,2007,12850
1439,2007,12850
1440,2008,12858
1441,2008,12858
1442,2008,12858
1443,2008,12858
1444,2008,12858
1445,2008,12858
1446,2008,12858
1447,2008,12858
1448,2008,12858
1449,2012,12899
1450,2012,12899
1451,2011,12891
1452,2009,12884
1453,2009,12884
1454,2009,12884
1455,2009,12884
1456,2009,12884
1457,2009,12884
1458,2008,12879
1459,2008,12889
1460,2008,12889
1461,2008,12891
1462,2008,12891
1463,2008,12891
1464,2008,12891
1465,2008,12891
1466,2008,12891
1467,2008,12891
1468,2008,12891
1469,2008,12891
1470,2008,12891
1471,2008,12891
1472,2008,12891
1473,2008,12891
1474,2008,12891
1475,2008,12891
1476,2008,12891
1477,2009,12851
1478,2011,12855
1479,2011,12855
1480,2015,12870
1481,2014,12868
1482,2014,12868
1483,2014,12868
1484,2013,12858
1485,2013,12858
1486,2013,12858
1487,2014,12860
1488,2014,12860
1489,2027,12926
1490,2027,12928
1491,2029,12952
1492,2030,12963
1493,2031,12971
1494,2031,12971
1495,2031,12971
1496,2031,12971
1497,2031,12971
1498,2031,12971
1499,2031,12971
1500,2030,12955
1501,2030,12955
1502,2030,12955
1503,2025,12942
1504,2025,12942
1505,2023,12938
1506,2023,12938
1507,2065,13194
1508,2065,13194
1509,2064,13186
1510,2064,13186
1511,2064,13186
1512,2064,13186
1513,2065,13191
1514,2065,13197
1515,2065,13207
1516,2079,13567
1517,2079,13567
1518,2079,13567
1519,2079,13567
1520,2079,13567
1521,2079,13565
1522,2082,13583
1523,2082,13583
1524,2082,13583
1525,2088,13613
1526,2089,13619
1527,2098,13684
1528,2112,13781
1529,2112,13781
1530,2112,13781
1531,2113,13794
1532,2113,13794
1533,2113,13794
1534,2113,13794
1535,2113,13794
1536,2113,13749
1537,2113,13749
1538,2117,13778
1539,2117,13768
1540,2117,13768
1541,2117,13768
1542,2119,13788
1543,2124,13804
1544,2124,13801
1545,2124,13801
1546,2124,13801
1547,2124,13801
1548,2124,13801
1549,2124,13801
1550,2140,13893
1551,2139,13883
1552,2139,13883
1553,2139,13883
1554,2139,13883
1555,2141,13893
1556,2144,13899
1557,2145,13913
1558,2147,13936
1559,2147,13936
1560,2146,13931
1561,2148,13938
1562,2154,13998
1563,2188,14289
1564,2188,14289
1565,2187,14316
1566,2187,14316
1567,2187,14306
1568,2190,14338
1569,2189,14333
1570,2190,14349
1571,2190,14349
1572,2190,14349
1573,2190,14349
1574,2190,14349
1575,2210,14561
1576,2210,14561
1577,2210,14561
1578,2210,14561
1579,2209,14559
1580,2211,14581
1581,2211,14581
1582,2212,14589
1583,2212,14589
1584,2212,14589
1585,2212,14589
1586,2211,14584
1587,2211,14584
1588,2211,14584
1589,2213,14588
1590,2213,14588
1591,2173,14403
1592,2173,14403
1593,2171,14364
1594,2161,14268
1595,2158,14258
1596,2133,14021
1597,2132,13981
1598,2132,13981
1599,2133,14076
1600,2133,14076
1601,2108,13938
1602,2108,13938
1603,2109,13942
1604,2109,13942
1605,2114,13955
1606,2114,13955
1607,2112,13943
1608,2112,13943
1609,2112,13943
1610,2112,13955
1611,2112,13955
1612,2112,13955
1613,2112,13955
1614,2111,13930
1615,2112,13935
1616,2118,13954
1617,2119,13956
1618,2119,13956
1619,2119,13956
1620,2124,13975
1621,2124,13975
1622,2127,13990
1623,2127,13990
1624,2130,13996
1625,2129,13986
1626,2131,14006
1627,2131,14006
1628,2131,14006
1629,2133,14016
1630,2135,14026
1631,2134,14018
1632,2138,14051
1633,2138,14051
1634,2138,14051
1635,2138,14051
1636,2139,14060
1637,2139,14060
1638,2183,14446
1639,2183,14454
1640,2183,14454
1641,2183,14454
1642,2184,14459
1643,2184,14484
1644,2184,14484
1645,2184,14484
1646,2184,14484
1647,2187,14489
1648,2187,14489
1649,2186,14488
1650,2186,14488
1651,2186,14488
1652,2185,14487
1653,2184,14486
1654,2184,14486
1655,2186,14505
1656,2189,14525
1657,2189,14525
1658,2192,14599
1659,2191,14597
1660,2191,14597
